"metab_identifier","expDate","group","reading","vo2","vco2","tube_temp","cv.o2","cv.co2"
"20210421|22821|1|v5","2021-04-21","empty",2,-0.017169,0.006688437,"RT",204.801650549621,121.931796783817
"20210421|22821|1|v5","2021-04-21","empty",1,0.09378787,0.09037767,"RT",204.801650549621,121.931796783817
"20210421|22821|1|v6","2021-04-21","empty",1,0.02751057,0.01929219,"RT",843.152283473142,153.593895650815
"20210421|22821|1|v6","2021-04-21","empty",2,-0.01960749,-0.0007960095,"RT",843.152283473142,153.593895650815
"20210421|22821|1|v7","2021-04-21","empty",2,-0.01326561,0.001245748,"RT",194.744298762054,135.679884144572
"20210421|22821|1|v7","2021-04-21","empty",1,0.08363084,0.06012366,"RT",194.744298762054,135.679884144572
"20210421|22821|1|v9","2021-04-21","empty",1,0.0581855,0.04230342,"RT",268.575528347184,126.047120148967
"20210421|22821|1|v9","2021-04-21","empty",2,-0.01804533,0.002431624,"RT",268.575528347184,126.047120148967
"20210421|22821|2|v1","2021-04-21","pup",2,0.2478153,0.1628775,"RT",0.977014025189672,5.01201249832451
"20210421|22821|2|v1","2021-04-21","pup",1,0.2512632,0.1517278,"RT",0.977014025189672,5.01201249832451
"20210421|22821|2|v2","2021-04-21","pup",2,0.05415641,0.03288191,"RT",29.0712842237558,27.1745222312029
"20210421|22821|2|v2","2021-04-21","pup",1,0.08218303,0.04852436,"RT",29.0712842237558,27.1745222312029
"20210421|22821|2|v3","2021-04-21","pup",2,0.04309305,0.02221136,"RT",44.8777027919766,70.4312977254837
"20210421|22821|2|v3","2021-04-21","pup",1,0.08315611,0.06628443,"RT",44.8777027919766,70.4312977254837
"20210421|22821|2|v4","2021-04-21","pup",1,0.1377492,0.08502602,"RT",74.2260606153186,56.0086305710322
"20210421|22821|2|v4","2021-04-21","pup",2,0.04292237,0.0367842,"RT",74.2260606153186,56.0086305710322
"20210421|22821|2|v5","2021-04-21","pup",1,0.1661681,0.1369074,"RT",84.885853856083,87.637700081261
"20210421|22821|2|v5","2021-04-21","pup",2,0.0415117,0.03214621,"RT",84.885853856083,87.637700081261
"20210421|22821|2|v6","2021-04-21","pup",1,0.04850382,0.03254924,"RT",8.72246795514532,23.2127228267905
"20210421|22821|2|v6","2021-04-21","pup",2,0.04286825,0.04533268,"RT",8.72246795514532,23.2127228267905
"20210421|22821|2|v7","2021-04-21","pup",2,0.05317213,0.03254571,"RT",48.8404801907168,50.1818158803196
"20210421|22821|2|v7","2021-04-21","pup",1,0.1092734,0.06834604,"RT",48.8404801907168,50.1818158803196
"20210421|22821|2|v9","2021-04-21","empty",2,-0.000659194,0.006783393,"RT",149.894643790079,82.6019155781905
"20210421|22821|2|v9","2021-04-21","empty",1,0.02266343,0.02583564,"RT",149.894643790079,82.6019155781905
"20210421|22821|3|v1","2021-04-21","pup",2,0.2652068,0.1721809,"RT",4.85575584888016,4.70877036454027
"20210421|22821|3|v1","2021-04-21","pup",1,0.2840663,0.1840417,"RT",4.85575584888016,4.70877036454027
"20210421|22821|3|v2","2021-04-21","pup",2,0.05044821,0.03188251,"RT",20.5211070308113,24.3360832659977
"20210421|22821|3|v2","2021-04-21","pup",1,0.06757395,0.04513602,"RT",20.5211070308113,24.3360832659977
"20210421|22821|3|v3","2021-04-21","pup",1,0.1018899,0.05714427,"RT",70.8629535600116,33.2638396127656
"20210421|22821|3|v3","2021-04-21","pup",2,0.03386585,0.03538126,"RT",70.8629535600116,33.2638396127656
"20210421|22821|3|v4","2021-04-21","pup",2,0.05232264,0.04259406,"RT",58.1373168771092,41.3731196209077
"20210421|22821|3|v4","2021-04-21","pup",1,0.1253714,0.07782205,"RT",58.1373168771092,41.3731196209077
"20210421|22821|3|v5","2021-04-21","pup",2,0.04299869,0.02794956,"RT",57.618597713563,73.4832001329135
"20210421|22821|3|v5","2021-04-21","pup",1,0.1021262,0.08841111,"RT",57.618597713563,73.4832001329135
